RIVAL,PLAY #,HF,ODK,SERIES,DN,DIST,YARD LN,OFF FORM,OFF STR,MOTION,MOTION DIR,OFF PLAY,PLAY TYPE,RESULT,PI,PC,GN/LS,PLAY DIR,PASS ZONE,COVERAGE,PASSER_Jersey,PASSER_Name,RECEIVER_Jersey,RECEIVER_Name,INTERCEPTED BY_Jersey,INTERCEPTED BY_Name,KEY PLAYER_Jersey,KEY PLAYER_Name,TACKLER1_Jersey,TACKLER1_Name,BLZ_Jersey,BLZ_Name,RUSHER_Jersey,RUSHER_Name
NZL,24,1,K,3,0,,5,ISO,L,,,,Extra Pt.,Good,1,1,5,R,3,,10,Monica Rafecas,11,Emma García,,,,,,,,,,
NZL,25,1,D,4,1,20,-5,SLOT,L,,,,Pass,Dropped,1,0,0,R,3,DALLAS,,,,,,,,,,,7,Elvira Núñez Calzado,,
NZL,26,1,D,4,2,20,-5,SLOT,R,,,,Pass,Complete,1,1,5,R,3,INDIANA,,,,,,,,,2,Victoria Sanchez Segarra,7,Elvira Núñez Calzado,,
NZL,27,1,D,4,3,15,-10,BUNCH,L,,,,Pass,Batted Down,1,0,0,L,7,DALLAS,,,,,,,2,Victoria Sanchez Segarra,,,1,María Vidal,,
NZL,28,1,D,4,4,15,-10,TIGHT,R,,,,Pass,1st DN,1,1,30,L,8,LINE,,,,,,,,,13,Cris Gómez,1,María Vidal,,
NZL,29,1,D,4,1,10,10,TIGHT,L,,,,Pass,Incomplete,1,0,0,R,2,DALLAS,,,,,,,,,,,7,Elvira Núñez Calzado,,
NZL,30,1,D,4,2,10,10,ARROW,L,,,,Pass,Complete,1,1,4,R,2,REGULAR,,,,,,,,,8,Ana Leal,7,Elvira Núñez Calzado,,
NZL,31,1,D,4,3,6,6,ARROW,L,,,,Pass,Incomplete,1,0,0,R,6,REGULAR,,,,,,,,,,,1,María Vidal,,
NZL,32,1,D,4,4,6,6,SLOT,R,,,,Pass,"Complete, TD",1,1,6,L,1,REGULAR,,,,,,,,,,,1,María Vidal,,
NZL,33,1,K,4,0,5,5,BUNCH,R,,,,Extra Pt. Block,No Good,1,0,0,R,6,REGULAR,,,,,,,,,,,7,Elvira Núñez Calzado,,
